Epoch,Train Loss,Val Loss,IoU Edge,IoU Corner,F1 Edge,F1 Corner
1,3.4910053185054233,4.585174401601155,0.060978512767524945,0.006151603875401807,0.11453622313482421,0.012043281546322674
2,2.8144992419651578,3.6507996320724487,0.04461781832062462,0.013086608178647501,0.08154778974962287,0.02486645007905151
3,2.469925494421096,2.2547332843144736,0.0007753809525941809,0.0,0.0015393795578607491,0.0
4,2.1786679199763705,2.0283021132151284,0.0,0.0,0.0,0.0
5,1.9153430916014171,1.80038583278656,0.0,0.0,0.0,0.0
6,1.6766283228283836,1.538634220759074,0.0,0.0,0.0,0.0
7,1.4761293956211634,1.4303985834121704,0.0,0.0,0.0,0.0
8,1.311212074188959,1.2769793669382732,0.0,0.0,0.0,0.0
9,1.1750752925872803,1.0565534432729085,0.0,0.0,0.0,0.0
10,1.0639637169383822,1.0321222245693207,0.0,0.0,0.0,0.0
11,0.986046294371287,0.9931873381137848,0.0,0.0,0.0,0.0
12,0.9386035402615865,1.0285698175430298,0.0,0.0,0.0,0.0
13,0.9052588144938151,0.9572728474934896,0.0,0.0,0.0,0.0
14,0.8601651787757874,0.8584801852703094,0.0,0.0,0.0,0.0
15,0.8314765294392904,0.8031015495459238,0.0,0.0,0.0,0.0
16,0.7939035580271766,0.8012775878111521,0.0,0.0,0.0,0.0
17,0.7623829018502009,0.8024664322535197,0.0,0.0,0.0,0.0
18,0.7298315309342884,0.7232782542705536,0.0,0.0,0.0,0.0
19,0.6997998441968646,0.7964716553688049,0.0,0.0,0.0,0.0
20,0.679160841873714,0.693426658709844,0.0,0.0,0.0,0.0
21,0.656939256758917,0.6727758844693502,0.0,0.0,0.0,0.0
22,0.6440958494231814,0.6339989801247915,0.0,0.0,0.0,0.0
23,0.6320596450851077,0.646412193775177,0.0,0.0,0.0,0.0
24,0.6209289715403602,0.6283660332361857,0.0,0.0,0.0,0.0
25,0.610533092703138,0.6278413385152817,0.0,0.0,0.0,0.0
26,0.6011591723987034,0.595345805088679,0.0,0.0,0.0,0.0
27,0.590275852453141,0.5860814650853475,0.0,0.0,0.0,0.0
28,0.5777920314243862,0.5700303564469019,0.0,0.0,0.0,0.0
29,0.5706762018657866,0.5590641846259435,0.0,0.0,0.0,0.0
30,0.5676865010034471,0.5498237212498983,0.0,2.8994681391244132e-05,0.0,5.796924649205591e-05
31,0.5569724923088437,0.5395777275164922,0.0,2.6710465179002357e-05,0.0,5.3402352412896494e-05
32,0.5452573867071242,0.5541869600613912,0.0,7.625783161659325e-05,0.0,0.00015239326638125239
33,0.543976332460131,0.5369321952263514,0.0,0.00010364485206082463,0.0,0.00020705179555252905
34,0.5404342214266459,0.5458529740571976,0.0,6.487223505419457e-05,0.0,0.00012961404059924896
35,0.5338984770434243,0.5428935786088308,0.0,0.00019185514801869257,0.0,0.0003830881462255049
36,0.5294036936192286,0.5332293510437012,0.0,0.0008235912481766372,0.0,0.0016406997012728382
37,0.526404253074101,0.5263195584217707,0.0,0.0011954097537368181,0.0,0.0023781179722088077
38,0.5210343173571995,0.5203941365083059,0.0,0.0062865904321716655,0.0,0.012235767418696057
39,0.5165268154371352,0.5135222673416138,0.0,0.006764328328981286,0.0,0.013184041073102327
40,0.5138003286861238,0.5115652134021124,0.0,0.017602677235291117,0.0,0.033387061807193925
41,0.510638598884855,0.5074674735466639,0.0,0.0065258012646587475,0.0,0.012720485993971428
42,0.5076542184466407,0.5028008073568344,0.0,0.016670970334893183,0.0,0.03169009175949863
43,0.5044374139535994,0.5161705563465754,0.0,0.016647183713281437,0.0,0.03175667462693084
44,0.5057036252248854,0.5090678284565607,0.0,0.021912983086492335,0.0,0.04128357980932508
45,0.5013632518904549,0.5097237974405289,0.0,0.018919765372716245,0.0,0.036025141388000476
46,0.5043039478006817,0.494133601586024,0.0,0.02476642919438226,0.0,0.04627539159818774
47,0.49754542680013747,0.4969698637723923,0.0,0.023416440933942795,0.0,0.04402013970095487
48,0.5005462794076829,0.4883069495360057,0.0,0.028250069734418674,0.0,0.05255417652162058
49,0.49425727412814185,0.49058698614438373,0.0,0.024691815044553506,0.0,0.04641054934334187
50,0.49126306601933073,0.49602677424748737,0.0,0.040671520511664096,0.0,0.07487751836223262
51,0.48999745221365065,0.4882902999718984,0.0,0.04581432278445434,0.0,0.08353495158787284
52,0.4876312627678826,0.48934075236320496,0.0,0.0487339866924144,0.0,0.08876265878123897
53,0.4861628058410826,0.48709358274936676,0.0,0.04732102407364264,0.0,0.08618959221279338
54,0.48660317347163246,0.49301553269227344,0.0,0.06230809291203817,0.0,0.11194324994548446
55,0.4870917144275847,0.479726642370224,0.0,0.04422747290560177,0.0,0.08053794050855297
56,0.4870693286259969,0.4858207354942958,0.0,0.05733299077976318,0.0,0.10336177259506214
57,0.48396057032403494,0.4900000989437103,0.0,0.05956658388354948,0.0,0.10707636621026766
58,0.4807220896085103,0.48500863711039227,0.0,0.06700046990244161,0.0,0.11982272662931964
59,0.4790500970113845,0.4835963745911916,0.0,0.060672439413056486,0.0,0.10917927519906134
60,0.47831911416280837,0.4845164517561595,0.0,0.06999899194176708,0.0,0.1251029039600066
